2025-08-13 15:44:48 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2025-08-13 15:44:58 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2025-08-13 15:44:58 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2025-08-13 15:44:59 [main] INFO  com.zaxxer.hikari.pool.HikariPool - master - Added connection com.mysql.cj.jdbc.ConnectionImpl@4b477121
2025-08-13 15:44:59 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2025-08-13 15:44:59 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2025-08-13 15:44:59 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
2025-08-13 15:45:03 [main] INFO  o.r.common.json.config.JacksonConfig - 初始化 jackson 配置
2025-08-13 15:45:03 [main] INFO  o.r.common.redis.config.RedisConfig - 初始化 redis 配置
2025-08-13 15:45:03 [main] INFO  org.redisson.Version - Redisson 3.20.1
2025-08-13 15:45:03 [redisson-netty-2-5] INFO  o.r.c.p.MasterPubSubConnectionPool - 1 connections initialized for localhost/127.0.0.1:6379
2025-08-13 15:45:03 [redisson-netty-2-4] INFO  o.r.c.pool.MasterConnectionPool - 8 connections initialized for localhost/127.0.0.1:6379
2025-08-13 15:45:05 [main] INFO  o.r.common.json.config.JacksonConfig - 初始化 jackson 配置
2025-08-13 15:45:08 [main] INFO  io.undertow - starting server: Undertow - 2.3.18.Final
2025-08-13 15:45:08 [main] INFO  org.xnio - XNIO version 3.8.16.Final
2025-08-13 15:45:08 [main] INFO  org.xnio.nio - XNIO NIO Implementation Version 3.8.16.Final
2025-08-13 15:45:08 [main] INFO  org.jboss.threads - JBoss Threads version 3.5.0.Final
2025-08-13 15:45:08 [main] INFO  org.ruoyi.RuoYiAIApplication - Started RuoYiAIApplication in 20.916 seconds (process running for 21.8)
2025-08-13 15:45:08 [main] INFO  o.r.c.c.l.WebSocketTopicListener - 初始化WebSocket主题订阅监听器成功
2025-08-13 15:45:08 [main] INFO  o.r.s.runner.SystemApplicationRunner - 初始化OSS配置成功
2025-08-13 15:48:02 [XNIO-1 task-2] INFO  io.undertow.servlet - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-08-13 15:48:02 [XNIO-1 task-2] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：127.0.0.1
2025-08-13 15:48:03 [XNIO-1 task-2] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：127.0.0.1
2025-08-13 15:48:05 [XNIO-1 task-2] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：127.0.0.1
2025-08-13 15:48:58 [XNIO-1 task-2] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：127.0.0.1
2025-08-13 15:48:58 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:--> POST https://api.ppinfra.com/v3/openai/chat/completions
2025-08-13 15:48:58 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:Content-Type: application/json; charset=utf-8
2025-08-13 15:48:58 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:Content-Length: 565
2025-08-13 15:48:58 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:Accept: text/event-stream
2025-08-13 15:48:58 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:--> END POST
2025-08-13 15:49:00 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:<-- 200 https://api.ppinfra.com/v3/openai/chat/completions (2103ms)
2025-08-13 15:49:00 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:date: Wed, 13 Aug 2025 07:49:01 GMT
2025-08-13 15:49:00 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:content-type: text/event-stream
2025-08-13 15:49:00 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:cache-control: no-cache
2025-08-13 15:49:00 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:x-request-id: 
2025-08-13 15:49:00 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:x-trace-id: 7485da52ca06e61e60918c70fe67fe6e
2025-08-13 15:49:00 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:<-- END HTTP
2025-08-13 15:49:00 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.l.SSEEventSourceListener - OpenAI建立sse连接...
2025-08-13 15:49:08 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.l.SSEEventSourceListener - OpenAI关闭sse连接...
2025-08-13 15:49:08 [XNIO-1 task-2] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：127.0.0.1
2025-08-13 15:49:16 [XNIO-1 task-2] ERROR o.r.c.s.h.GlobalExceptionHandler - 请求地址'/chat/audio',认证失败'Token无效：undefined',无法访问系统资源
2025-08-13 15:49:17 [XNIO-1 task-3] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：127.0.0.1
2025-08-13 15:49:17 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:--> POST https://api.ppinfra.com/v3/openai/chat/completions
2025-08-13 15:49:17 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:Content-Type: application/json; charset=utf-8
2025-08-13 15:49:17 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:Content-Length: 2122
2025-08-13 15:49:17 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:Accept: text/event-stream
2025-08-13 15:49:17 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:--> END POST
2025-08-13 15:49:18 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:<-- 200 https://api.ppinfra.com/v3/openai/chat/completions (920ms)
2025-08-13 15:49:18 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:date: Wed, 13 Aug 2025 07:49:18 GMT
2025-08-13 15:49:18 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:content-type: text/event-stream
2025-08-13 15:49:18 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:cache-control: no-cache
2025-08-13 15:49:18 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:x-request-id: 
2025-08-13 15:49:18 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:x-trace-id: 121b9da05c3ad21be7860a861e2d7e44
2025-08-13 15:49:18 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:<-- END HTTP
2025-08-13 15:49:18 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.l.SSEEventSourceListener - OpenAI建立sse连接...
2025-08-13 15:49:25 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.l.SSEEventSourceListener - OpenAI关闭sse连接...
2025-08-13 15:49:25 [XNIO-1 task-3] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：127.0.0.1
2025-08-13 15:50:33 [XNIO-1 task-3] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：127.0.0.1
2025-08-13 15:50:35 [XNIO-1 task-3] WARN  o.r.s.service.impl.SysOssServiceImpl - OSS上传失败，使用本地存储: 创建Bucket失败, 请核对配置信息:[<bucketname>-<appid> (Service: Amazon S3; Status Code: 400; Error Code: InvalidRequest; Request ID: Njg5YzQzY2JfNWIyZjJjMGJfMjFiODhfMzRkNjE4MA==; S3 Extended Request ID: null; Proxy: null)]
2025-08-13 15:50:35 [XNIO-1 task-3] INFO  o.r.s.service.impl.SysOssServiceImpl - 使用上传目录: C:\Users\28279\Desktop\SourceCode\uploads\images\
2025-08-13 15:50:35 [XNIO-1 task-3] INFO  o.r.s.service.impl.SysOssServiceImpl - 当前工作目录: C:\Users\28279\Desktop\SourceCode
2025-08-13 15:50:35 [XNIO-1 task-3] INFO  o.r.s.service.impl.SysOssServiceImpl - 上传目录已存在: C:\Users\28279\Desktop\SourceCode\uploads\images\
2025-08-13 15:50:35 [XNIO-1 task-3] INFO  o.r.s.service.impl.SysOssServiceImpl - 文件已保存到: C:\Users\28279\Desktop\SourceCode\uploads\images\1755071435115.docx
2025-08-13 15:50:35 [XNIO-1 task-3] WARN  o.r.h.InjectionMetaObjectHandler - 自动注入警告 => 用户未登录
2025-08-13 15:50:35 [XNIO-1 task-3] ERROR o.ruoyi.common.log.aspect.LogAspect - 异常信息:Token无效：undefined
2025-08-13 15:51:08 [XNIO-1 task-2] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：127.0.0.1
2025-08-13 15:51:09 [XNIO-1 task-2] WARN  o.r.s.service.impl.SysOssServiceImpl - OSS上传失败，使用本地存储: 创建Bucket失败, 请核对配置信息:[<bucketname>-<appid> (Service: Amazon S3; Status Code: 400; Error Code: InvalidRequest; Request ID: Njg5YzQzZWRfODk2YzY0MDlfMTAyZDBfNWUyNDYzMg==; S3 Extended Request ID: null; Proxy: null)]
2025-08-13 15:51:09 [XNIO-1 task-2] INFO  o.r.s.service.impl.SysOssServiceImpl - 使用上传目录: C:\Users\28279\Desktop\SourceCode\uploads\images\
2025-08-13 15:51:09 [XNIO-1 task-2] INFO  o.r.s.service.impl.SysOssServiceImpl - 当前工作目录: C:\Users\28279\Desktop\SourceCode
2025-08-13 15:51:09 [XNIO-1 task-2] INFO  o.r.s.service.impl.SysOssServiceImpl - 上传目录已存在: C:\Users\28279\Desktop\SourceCode\uploads\images\
2025-08-13 15:51:09 [XNIO-1 task-2] INFO  o.r.s.service.impl.SysOssServiceImpl - 文件已保存到: C:\Users\28279\Desktop\SourceCode\uploads\images\1755071469189.pdf
2025-08-13 15:51:09 [XNIO-1 task-2] WARN  o.r.h.InjectionMetaObjectHandler - 自动注入警告 => 用户未登录
2025-08-13 15:51:09 [XNIO-1 task-2] ERROR o.ruoyi.common.log.aspect.LogAspect - 异常信息:Token无效：undefined
2025-08-13 15:51:18 [XNIO-1 task-3] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：127.0.0.1
2025-08-13 15:51:18 [XNIO-1 task-3] WARN  o.r.s.service.impl.SysOssServiceImpl - OSS上传失败，使用本地存储: 创建Bucket失败, 请核对配置信息:[<bucketname>-<appid> (Service: Amazon S3; Status Code: 400; Error Code: InvalidRequest; Request ID: Njg5YzQzZjdfODRkMGU5MDlfZThiMV8zNTg2YzYz; S3 Extended Request ID: null; Proxy: null)]
2025-08-13 15:51:18 [XNIO-1 task-3] INFO  o.r.s.service.impl.SysOssServiceImpl - 使用上传目录: C:\Users\28279\Desktop\SourceCode\uploads\images\
2025-08-13 15:51:18 [XNIO-1 task-3] INFO  o.r.s.service.impl.SysOssServiceImpl - 当前工作目录: C:\Users\28279\Desktop\SourceCode
2025-08-13 15:51:18 [XNIO-1 task-3] INFO  o.r.s.service.impl.SysOssServiceImpl - 上传目录已存在: C:\Users\28279\Desktop\SourceCode\uploads\images\
2025-08-13 15:51:18 [XNIO-1 task-3] INFO  o.r.s.service.impl.SysOssServiceImpl - 文件已保存到: C:\Users\28279\Desktop\SourceCode\uploads\images\1755071478828.png
2025-08-13 15:51:18 [XNIO-1 task-3] WARN  o.r.h.InjectionMetaObjectHandler - 自动注入警告 => 用户未登录
2025-08-13 15:51:18 [XNIO-1 task-3] ERROR o.ruoyi.common.log.aspect.LogAspect - 异常信息:Token无效：undefined
2025-08-13 15:51:18 [XNIO-1 task-2] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：127.0.0.1
2025-08-13 15:51:43 [XNIO-1 task-2] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：127.0.0.1
2025-08-13 15:51:43 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:--> POST https://api.ppinfra.com/v3/openai/chat/completions
2025-08-13 15:51:43 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:Content-Type: application/json; charset=utf-8
2025-08-13 15:51:43 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:Content-Length: 3610
2025-08-13 15:51:43 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:Accept: text/event-stream
2025-08-13 15:51:43 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:--> END POST
2025-08-13 15:51:46 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:<-- 200 https://api.ppinfra.com/v3/openai/chat/completions (2643ms)
2025-08-13 15:51:46 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:date: Wed, 13 Aug 2025 07:51:46 GMT
2025-08-13 15:51:46 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:content-type: text/event-stream
2025-08-13 15:51:46 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:cache-control: no-cache
2025-08-13 15:51:46 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:x-request-id: 
2025-08-13 15:51:46 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:x-trace-id: adcad90748e181f6e009b9437b6a89a3
2025-08-13 15:51:46 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:<-- END HTTP
2025-08-13 15:51:46 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.l.SSEEventSourceListener - OpenAI建立sse连接...
2025-08-13 15:51:50 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.l.SSEEventSourceListener - OpenAI关闭sse连接...
2025-08-13 15:51:50 [XNIO-1 task-2] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：127.0.0.1
2025-08-13 15:56:41 [XNIO-1 task-2] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：127.0.0.1
2025-08-13 15:56:42 [XNIO-1 task-2] WARN  o.r.s.service.impl.SysOssServiceImpl - OSS上传失败，使用本地存储: 创建Bucket失败, 请核对配置信息:[<bucketname>-<appid> (Service: Amazon S3; Status Code: 400; Error Code: InvalidRequest; Request ID: Njg5YzQ1M2FfNjU4ZTFiMDlfMmI1MTJfMzRmZDY3YQ==; S3 Extended Request ID: null; Proxy: null)]
2025-08-13 15:56:42 [XNIO-1 task-2] INFO  o.r.s.service.impl.SysOssServiceImpl - 使用上传目录: C:\Users\28279\Desktop\SourceCode\uploads\images\
2025-08-13 15:56:42 [XNIO-1 task-2] INFO  o.r.s.service.impl.SysOssServiceImpl - 当前工作目录: C:\Users\28279\Desktop\SourceCode
2025-08-13 15:56:42 [XNIO-1 task-2] INFO  o.r.s.service.impl.SysOssServiceImpl - 上传目录已存在: C:\Users\28279\Desktop\SourceCode\uploads\images\
2025-08-13 15:56:42 [XNIO-1 task-2] INFO  o.r.s.service.impl.SysOssServiceImpl - 文件已保存到: C:\Users\28279\Desktop\SourceCode\uploads\images\1755071802180.pdf
2025-08-13 15:56:42 [XNIO-1 task-2] WARN  o.r.h.InjectionMetaObjectHandler - 自动注入警告 => 用户未登录
2025-08-13 15:56:42 [XNIO-1 task-2] ERROR o.ruoyi.common.log.aspect.LogAspect - 异常信息:Token无效：undefined
2025-08-13 15:56:49 [XNIO-1 task-3] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：127.0.0.1
2025-08-13 15:56:49 [XNIO-1 task-3] WARN  o.r.s.service.impl.SysOssServiceImpl - OSS上传失败，使用本地存储: 创建Bucket失败, 请核对配置信息:[<bucketname>-<appid> (Service: Amazon S3; Status Code: 400; Error Code: InvalidRequest; Request ID: Njg5YzQ1NDFfYzQ4ZDFiMDlfMjNhYWFfMzRjMjYwOA==; S3 Extended Request ID: null; Proxy: null)]
2025-08-13 15:56:49 [XNIO-1 task-3] INFO  o.r.s.service.impl.SysOssServiceImpl - 使用上传目录: C:\Users\28279\Desktop\SourceCode\uploads\images\
2025-08-13 15:56:49 [XNIO-1 task-3] INFO  o.r.s.service.impl.SysOssServiceImpl - 当前工作目录: C:\Users\28279\Desktop\SourceCode
2025-08-13 15:56:49 [XNIO-1 task-3] INFO  o.r.s.service.impl.SysOssServiceImpl - 上传目录已存在: C:\Users\28279\Desktop\SourceCode\uploads\images\
2025-08-13 15:56:49 [XNIO-1 task-3] INFO  o.r.s.service.impl.SysOssServiceImpl - 文件已保存到: C:\Users\28279\Desktop\SourceCode\uploads\images\1755071809592.docx
2025-08-13 15:56:49 [XNIO-1 task-3] WARN  o.r.h.InjectionMetaObjectHandler - 自动注入警告 => 用户未登录
2025-08-13 15:56:49 [XNIO-1 task-3] ERROR o.ruoyi.common.log.aspect.LogAspect - 异常信息:Token无效：undefined
2025-08-13 15:57:10 [XNIO-1 task-3] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：127.0.0.1
2025-08-13 15:57:10 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:--> POST https://api.ppinfra.com/v3/openai/chat/completions
2025-08-13 15:57:10 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:Content-Type: application/json; charset=utf-8
2025-08-13 15:57:10 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:Content-Length: 5499
2025-08-13 15:57:10 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:Accept: text/event-stream
2025-08-13 15:57:10 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:--> END POST
2025-08-13 15:57:12 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:<-- 200 https://api.ppinfra.com/v3/openai/chat/completions (1619ms)
2025-08-13 15:57:12 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:date: Wed, 13 Aug 2025 07:57:12 GMT
2025-08-13 15:57:12 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:content-type: text/event-stream
2025-08-13 15:57:12 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:cache-control: no-cache
2025-08-13 15:57:12 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:x-request-id: 
2025-08-13 15:57:12 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:x-trace-id: 2928c44e9f94f2cad7805a001945a339
2025-08-13 15:57:12 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.c.o.interceptor.OpenAILogger - OkHttp-------->:<-- END HTTP
2025-08-13 15:57:12 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.l.SSEEventSourceListener - OpenAI建立sse连接...
2025-08-13 15:57:19 [OkHttp https://api.ppinfra.com/...] INFO  o.r.c.l.SSEEventSourceListener - OpenAI关闭sse连接...
2025-08-13 15:57:19 [XNIO-1 task-3] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：127.0.0.1
2025-08-13 15:59:58 [XNIO-1 task-3] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：127.0.0.1
2025-08-13 16:15:24 [XNIO-1 task-3] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：127.0.0.1
2025-08-13 16:15:24 [XNIO-1 task-3] WARN  o.r.s.service.impl.SysOssServiceImpl - OSS上传失败，使用本地存储: 创建Bucket失败, 请核对配置信息:[<bucketname>-<appid> (Service: Amazon S3; Status Code: 400; Error Code: InvalidRequest; Request ID: Njg5YzQ5OWNfNWIyZjJjMGJfMjFiZDRfMzUzMGQ5ZQ==; S3 Extended Request ID: null; Proxy: null)]
2025-08-13 16:15:24 [XNIO-1 task-3] INFO  o.r.s.service.impl.SysOssServiceImpl - 使用上传目录: C:\Users\28279\Desktop\SourceCode\uploads\images\
2025-08-13 16:15:24 [XNIO-1 task-3] INFO  o.r.s.service.impl.SysOssServiceImpl - 当前工作目录: C:\Users\28279\Desktop\SourceCode
2025-08-13 16:15:24 [XNIO-1 task-3] INFO  o.r.s.service.impl.SysOssServiceImpl - 上传目录已存在: C:\Users\28279\Desktop\SourceCode\uploads\images\
2025-08-13 16:15:24 [XNIO-1 task-3] INFO  o.r.s.service.impl.SysOssServiceImpl - 文件已保存到: C:\Users\28279\Desktop\SourceCode\uploads\images\1755072924673.docx
2025-08-13 16:15:24 [XNIO-1 task-3] WARN  o.r.h.InjectionMetaObjectHandler - 自动注入警告 => 用户未登录
2025-08-13 16:15:24 [XNIO-1 task-3] ERROR o.ruoyi.common.log.aspect.LogAspect - 异常信息:Token无效：undefined
2025-08-13 16:15:40 [XNIO-1 task-3] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：127.0.0.1
2025-08-13 16:15:40 [XNIO-1 task-3] WARN  o.r.s.service.impl.SysOssServiceImpl - OSS上传失败，使用本地存储: 创建Bucket失败, 请核对配置信息:[<bucketname>-<appid> (Service: Amazon S3; Status Code: 400; Error Code: InvalidRequest; Request ID: Njg5YzQ5YWNfMWIzNTJjMGJfMThkZTRfMzUxNDBhNg==; S3 Extended Request ID: null; Proxy: null)]
2025-08-13 16:15:40 [XNIO-1 task-3] INFO  o.r.s.service.impl.SysOssServiceImpl - 使用上传目录: C:\Users\28279\Desktop\SourceCode\uploads\images\
2025-08-13 16:15:40 [XNIO-1 task-3] INFO  o.r.s.service.impl.SysOssServiceImpl - 当前工作目录: C:\Users\28279\Desktop\SourceCode
2025-08-13 16:15:40 [XNIO-1 task-3] INFO  o.r.s.service.impl.SysOssServiceImpl - 上传目录已存在: C:\Users\28279\Desktop\SourceCode\uploads\images\
2025-08-13 16:15:40 [XNIO-1 task-3] INFO  o.r.s.service.impl.SysOssServiceImpl - 文件已保存到: C:\Users\28279\Desktop\SourceCode\uploads\images\1755072940535.pdf
