1754622004523|28|statement|connection 0|url jdbc:mysql://127.0.0.1:3306/course_ai?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,category,model_name,model_describe,model_price,model_type,model_show,system_prompt,api_host,api_key,remark,create_dept,create_by,create_time,update_by,update_time  FROM chat_model      WHERE  (model_name = ?)|SELECT  id,category,model_name,model_describe,model_price,model_type,model_show,system_prompt,api_host,api_key,remark,create_dept,create_by,create_time,update_by,update_time  FROM chat_model      WHERE  (model_name = 'suno')
1754622037509|8|statement|connection 14|url jdbc:mysql://127.0.0.1:3306/course_ai?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|select u.user_id,                u.tenant_id,                u.user_balance,                u.user_grade,                u.dept_id,                u.user_name,                u.nick_name,                u.user_type,                u.email,                u.avatar,                u.wx_avatar,                u.phonenumber,                u.password,                u.user_plan,                u.sex,                u.status,                u.del_flag,                u.login_ip,                u.login_date,                u.create_by,                u.create_time,                u.remark,                d.dept_id,                d.parent_id,                d.ancestors,                d.dept_name,                d.order_num,                d.leader,                d.status as dept_status,                r.role_id,                r.role_name,                r.role_key,                r.role_sort,                r.data_scope,                r.status as role_status         from sys_user u             left join sys_dept d on u.dept_id = d.dept_id             left join sys_user_role sur on u.user_id = sur.user_id             left join sys_role r on r.role_id = sur.role_id               where u.del_flag = '0' and u.user_name = ?|select u.user_id,                u.tenant_id,                u.user_balance,                u.user_grade,                u.dept_id,                u.user_name,                u.nick_name,                u.user_type,                u.email,                u.avatar,                u.wx_avatar,                u.phonenumber,                u.password,                u.user_plan,                u.sex,                u.status,                u.del_flag,                u.login_ip,                u.login_date,                u.create_by,                u.create_time,                u.remark,                d.dept_id,                d.parent_id,                d.ancestors,                d.dept_name,                d.order_num,                d.leader,                d.status as dept_status,                r.role_id,                r.role_name,                r.role_key,                r.role_sort,                r.data_scope,                r.status as role_status         from sys_user u             left join sys_dept d on u.dept_id = d.dept_id             left join sys_user_role sur on u.user_id = sur.user_id             left join sys_role r on r.role_id = sur.role_id               where u.del_flag = '0' and u.user_name = 'xs001'
1754622037583|5|statement|connection 15|url jdbc:mysql://127.0.0.1:3306/course_ai?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|select distinct m.perms         from sys_menu m                  left join sys_role_menu rm on m.menu_id = rm.menu_id                  left join sys_user_role sur on rm.role_id = sur.role_id                  left join sys_role r on r.role_id = sur.role_id         where m.status = '0'           and r.status = '0'           and sur.user_id = ?|select distinct m.perms         from sys_menu m                  left join sys_role_menu rm on m.menu_id = rm.menu_id                  left join sys_user_role sur on rm.role_id = sur.role_id                  left join sys_role r on r.role_id = sur.role_id         where m.status = '0'           and r.status = '0'           and sur.user_id = 1941157542410121217
1754622037587|2|statement|connection 16|url jdbc:mysql://127.0.0.1:3306/course_ai?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|select distinct r.role_id,                         r.role_name,                         r.role_key,                         r.role_sort,                         r.data_scope,                         r.menu_check_strictly,                         r.dept_check_strictly,                         r.status,                         r.del_flag,                         r.create_time,                         r.remark         from sys_role r                  left join sys_user_role sur on sur.role_id = r.role_id                  left join sys_user u on u.user_id = sur.user_id                  left join sys_dept d on u.dept_id = d.dept_id               WHERE r.del_flag = '0' and sur.user_id = ?|select distinct r.role_id,                         r.role_name,                         r.role_key,                         r.role_sort,                         r.data_scope,                         r.menu_check_strictly,                         r.dept_check_strictly,                         r.status,                         r.del_flag,                         r.create_time,                         r.remark         from sys_role r                  left join sys_user_role sur on sur.role_id = r.role_id                  left join sys_user u on u.user_id = sur.user_id                  left join sys_dept d on u.dept_id = d.dept_id               WHERE r.del_flag = '0' and sur.user_id = 1941157542410121217
1754622038142|23|statement|connection 17|url jdbc:mysql://127.0.0.1:3306/course_ai?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|UPDATE sys_user  SET login_ip=?,  login_date=?,         update_by=?, update_time=?  WHERE user_id=? AND del_flag='0'|UPDATE sys_user  SET login_ip='127.0.0.1',  login_date='2025-08-08T11:00:38.113+0800',         update_by=1941157542410121217, update_time='2025-08-08T11:00:38.118+0800'  WHERE user_id=1941157542410121217 AND del_flag='0'
1754622038142|19|statement|connection 18|url jdbc:mysql://127.0.0.1:3306/course_ai?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|INSERT INTO sys_logininfor  ( info_id, tenant_id, user_name, status, ipaddr, login_location, browser, os, msg, login_time )  VALUES (  ?, ?, ?, ?, ?, ?, ?, ?, ?, ?  )|INSERT INTO sys_logininfor  ( info_id, tenant_id, user_name, status, ipaddr, login_location, browser, os, msg, login_time )  VALUES (  1953652543431163906, '000000', 'xs001', '0', '127.0.0.1', '内网IP', 'MSEdge', 'Windows 10 or Windows Server 2016', '登录成功', '2025-08-08T11:00:38.117+0800'  )
1754622038173|1|statement|connection 19|url jdbc:mysql://127.0.0.1:3306/course_ai?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|select u.user_id,                u.tenant_id,                u.user_balance,                u.user_grade,                u.dept_id,                u.user_name,                u.nick_name,                u.user_type,                u.email,                u.avatar,                u.wx_avatar,                u.phonenumber,                u.password,                u.user_plan,                u.sex,                u.status,                u.del_flag,                u.login_ip,                u.login_date,                u.create_by,                u.create_time,                u.remark,                d.dept_id,                d.parent_id,                d.ancestors,                d.dept_name,                d.order_num,                d.leader,                d.status as dept_status,                r.role_id,                r.role_name,                r.role_key,                r.role_sort,                r.data_scope,                r.status as role_status         from sys_user u             left join sys_dept d on u.dept_id = d.dept_id             left join sys_user_role sur on u.user_id = sur.user_id             left join sys_role r on r.role_id = sur.role_id               where u.del_flag = '0' and u.user_id = ?|select u.user_id,                u.tenant_id,                u.user_balance,                u.user_grade,                u.dept_id,                u.user_name,                u.nick_name,                u.user_type,                u.email,                u.avatar,                u.wx_avatar,                u.phonenumber,                u.password,                u.user_plan,                u.sex,                u.status,                u.del_flag,                u.login_ip,                u.login_date,                u.create_by,                u.create_time,                u.remark,                d.dept_id,                d.parent_id,                d.ancestors,                d.dept_name,                d.order_num,                d.leader,                d.status as dept_status,                r.role_id,                r.role_name,                r.role_key,                r.role_sort,                r.data_scope,                r.status as role_status         from sys_user u             left join sys_dept d on u.dept_id = d.dept_id             left join sys_user_role sur on u.user_id = sur.user_id             left join sys_role r on r.role_id = sur.role_id               where u.del_flag = '0' and u.user_id = 1941157542410121217
1754622038226|1|statement|connection 20|url jdbc:mysql://127.0.0.1:3306/course_ai?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|select distinct m.menu_id,                         m.parent_id,                         m.menu_name,                         m.path,                         m.component,                         m.query_param,                         m.visible,                         m.status,                         m.perms,                         m.is_frame,                         m.is_cache,                         m.menu_type,                         m.icon,                         m.order_num,                         m.create_time         from sys_menu m                  left join sys_role_menu rm on m.menu_id = rm.menu_id                  left join sys_user_role sur on rm.role_id = sur.role_id                  left join sys_role ro on sur.role_id = ro.role_id                  left join sys_user u on sur.user_id = u.user_id         where u.user_id = ?           and m.menu_type in ('M', 'C')           and m.status = '0'           and ro.status = '0'         order by m.parent_id, m.order_num|select distinct m.menu_id,                         m.parent_id,                         m.menu_name,                         m.path,                         m.component,                         m.query_param,                         m.visible,                         m.status,                         m.perms,                         m.is_frame,                         m.is_cache,                         m.menu_type,                         m.icon,                         m.order_num,                         m.create_time         from sys_menu m                  left join sys_role_menu rm on m.menu_id = rm.menu_id                  left join sys_user_role sur on rm.role_id = sur.role_id                  left join sys_role ro on sur.role_id = ro.role_id                  left join sys_user u on sur.user_id = u.user_id         where u.user_id = 1941157542410121217           and m.menu_type in ('M', 'C')           and m.status = '0'           and ro.status = '0'         order by m.parent_id, m.order_num
1754622047585|1|statement|connection 21|url jdbc:mysql://127.0.0.1:3306/course_ai?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|select u.user_id,                u.tenant_id,                u.user_balance,                u.user_grade,                u.dept_id,                u.user_name,                u.nick_name,                u.user_type,                u.email,                u.avatar,                u.wx_avatar,                u.phonenumber,                u.password,                u.user_plan,                u.sex,                u.status,                u.del_flag,                u.login_ip,                u.login_date,                u.create_by,                u.create_time,                u.remark,                d.dept_id,                d.parent_id,                d.ancestors,                d.dept_name,                d.order_num,                d.leader,                d.status as dept_status,                r.role_id,                r.role_name,                r.role_key,                r.role_sort,                r.data_scope,                r.status as role_status         from sys_user u             left join sys_dept d on u.dept_id = d.dept_id             left join sys_user_role sur on u.user_id = sur.user_id             left join sys_role r on r.role_id = sur.role_id               where u.del_flag = '0' and u.user_id = ?|select u.user_id,                u.tenant_id,                u.user_balance,                u.user_grade,                u.dept_id,                u.user_name,                u.nick_name,                u.user_type,                u.email,                u.avatar,                u.wx_avatar,                u.phonenumber,                u.password,                u.user_plan,                u.sex,                u.status,                u.del_flag,                u.login_ip,                u.login_date,                u.create_by,                u.create_time,                u.remark,                d.dept_id,                d.parent_id,                d.ancestors,                d.dept_name,                d.order_num,                d.leader,                d.status as dept_status,                r.role_id,                r.role_name,                r.role_key,                r.role_sort,                r.data_scope,                r.status as role_status         from sys_user u             left join sys_dept d on u.dept_id = d.dept_id             left join sys_user_role sur on u.user_id = sur.user_id             left join sys_role r on r.role_id = sur.role_id               where u.del_flag = '0' and u.user_id = 1941157542410121217
1754622047625|2|statement|connection 22|url jdbc:mysql://127.0.0.1:3306/course_ai?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|select distinct m.menu_id,                         m.parent_id,                         m.menu_name,                         m.path,                         m.component,                         m.query_param,                         m.visible,                         m.status,                         m.perms,                         m.is_frame,                         m.is_cache,                         m.menu_type,                         m.icon,                         m.order_num,                         m.create_time         from sys_menu m                  left join sys_role_menu rm on m.menu_id = rm.menu_id                  left join sys_user_role sur on rm.role_id = sur.role_id                  left join sys_role ro on sur.role_id = ro.role_id                  left join sys_user u on sur.user_id = u.user_id         where u.user_id = ?           and m.menu_type in ('M', 'C')           and m.status = '0'           and ro.status = '0'         order by m.parent_id, m.order_num|select distinct m.menu_id,                         m.parent_id,                         m.menu_name,                         m.path,                         m.component,                         m.query_param,                         m.visible,                         m.status,                         m.perms,                         m.is_frame,                         m.is_cache,                         m.menu_type,                         m.icon,                         m.order_num,                         m.create_time         from sys_menu m                  left join sys_role_menu rm on m.menu_id = rm.menu_id                  left join sys_user_role sur on rm.role_id = sur.role_id                  left join sys_role ro on sur.role_id = ro.role_id                  left join sys_user u on sur.user_id = u.user_id         where u.user_id = 1941157542410121217           and m.menu_type in ('M', 'C')           and m.status = '0'           and ro.status = '0'         order by m.parent_id, m.order_num
1754622048968|6|statement|connection 23|url jdbc:mysql://127.0.0.1:3306/course_ai?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT COUNT(*) AS total FROM a7_paper WHERE ((create_by = ? OR (create_role = ?)))|SELECT COUNT(*) AS total FROM a7_paper WHERE ((create_by = 1941157542410121217 OR (create_role = 'teacher')))
1754622048988|2|statement|connection 23|url jdbc:mysql://127.0.0.1:3306/course_ai?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,paper_name,create_role,create_name,paper_difficulty,paper_type,paper_subject,topic_number,answer_time,collection,create_dept,create_by,create_time,update_by,update_time  FROM a7_paper      WHERE  ((create_by = ? OR (create_role = ?))) LIMIT ?|SELECT  id,paper_name,create_role,create_name,paper_difficulty,paper_type,paper_subject,topic_number,answer_time,collection,create_dept,create_by,create_time,update_by,update_time  FROM a7_paper      WHERE  ((create_by = 1941157542410121217 OR (create_role = 'teacher'))) LIMIT 10
1754622049000|2|statement|connection 24|url jdbc:mysql://127.0.0.1:3306/course_ai?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,paper_id,user_id,finished,finish_time,create_dept,create_by,create_time,update_by,update_time  FROM a7_paper_user_relation      WHERE  (paper_id IN (?))|SELECT  id,paper_id,user_id,finished,finish_time,create_dept,create_by,create_time,update_by,update_time  FROM a7_paper_user_relation      WHERE  (paper_id IN (1945677815536799745))
1754622101188|1|statement|connection 25|url jdbc:mysql://127.0.0.1:3306/course_ai?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT COUNT(*) AS total FROM a7_paper WHERE ((create_by = ? OR (create_role = ?)))|SELECT COUNT(*) AS total FROM a7_paper WHERE ((create_by = 1941157542410121217 OR (create_role = 'teacher')))
1754622101191|1|statement|connection 25|url jdbc:mysql://127.0.0.1:3306/course_ai?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,paper_name,create_role,create_name,paper_difficulty,paper_type,paper_subject,topic_number,answer_time,collection,create_dept,create_by,create_time,update_by,update_time  FROM a7_paper      WHERE  ((create_by = ? OR (create_role = ?))) LIMIT ?|SELECT  id,paper_name,create_role,create_name,paper_difficulty,paper_type,paper_subject,topic_number,answer_time,collection,create_dept,create_by,create_time,update_by,update_time  FROM a7_paper      WHERE  ((create_by = 1941157542410121217 OR (create_role = 'teacher'))) LIMIT 10
1754622101196|1|statement|connection 26|url jdbc:mysql://127.0.0.1:3306/course_ai?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,paper_id,user_id,finished,finish_time,create_dept,create_by,create_time,update_by,update_time  FROM a7_paper_user_relation      WHERE  (paper_id IN (?))|SELECT  id,paper_id,user_id,finished,finish_time,create_dept,create_by,create_time,update_by,update_time  FROM a7_paper_user_relation      WHERE  (paper_id IN (1945677815536799745))
1754622104892|2|statement|connection 27|url jdbc:mysql://127.0.0.1:3306/course_ai?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT id,paper_name,create_role,create_name,paper_difficulty,paper_type,paper_subject,topic_number,answer_time,collection,create_dept,create_by,create_time,update_by,update_time FROM a7_paper WHERE id=?|SELECT id,paper_name,create_role,create_name,paper_difficulty,paper_type,paper_subject,topic_number,answer_time,collection,create_dept,create_by,create_time,update_by,update_time FROM a7_paper WHERE id=1945677815536799745
1754622104896|0|statement|connection 28|url jdbc:mysql://127.0.0.1:3306/course_ai?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,paper_id,user_id,finished,finish_time,create_dept,create_by,create_time,update_by,update_time  FROM a7_paper_user_relation      WHERE  (paper_id IN (?))|SELECT  id,paper_id,user_id,finished,finish_time,create_dept,create_by,create_time,update_by,update_time  FROM a7_paper_user_relation      WHERE  (paper_id IN (1945677815536799745))
1754622104958|60|statement|connection 29|url jdbc:mysql://127.0.0.1:3306/course_ai?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,paper_id,topic_name,topic_difficulty,topic_type,topic_content,topic_answer,collection,create_dept,create_by,create_time,update_by,update_time  FROM a7_topic      WHERE  (paper_id = ?)|SELECT  id,paper_id,topic_name,topic_difficulty,topic_type,topic_content,topic_answer,collection,create_dept,create_by,create_time,update_by,update_time  FROM a7_topic      WHERE  (paper_id = 1945677815536799745)
1754622104974|6|statement|connection 30|url jdbc:mysql://127.0.0.1:3306/course_ai?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,topic_id,sorted,option_content,right_answer,create_dept,create_by,create_time,update_by,update_time  FROM a7_topic_option      WHERE  (topic_id IN (?,?,?,?))|SELECT  id,topic_id,sorted,option_content,right_answer,create_dept,create_by,create_time,update_by,update_time  FROM a7_topic_option      WHERE  (topic_id IN (1945677815671017473,1945677815998173186,1945677816061087748,1945677816195305474))
1754623791644|11|statement|connection 0|url jdbc:mysql://127.0.0.1:3306/course_ai?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,category,model_name,model_describe,model_price,model_type,model_show,system_prompt,api_host,api_key,remark,create_dept,create_by,create_time,update_by,update_time  FROM chat_model      WHERE  (model_name = ?)|SELECT  id,category,model_name,model_describe,model_price,model_type,model_show,system_prompt,api_host,api_key,remark,create_dept,create_by,create_time,update_by,update_time  FROM chat_model      WHERE  (model_name = 'suno')
1754623791888|7|statement|connection 1|url jdbc:mysql://127.0.0.1:3306/course_ai?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,category,model_name,model_describe,model_price,model_type,model_show,system_prompt,api_host,api_key,remark,create_dept,create_by,create_time,update_by,update_time  FROM chat_model      WHERE  (model_name = ?)|SELECT  id,category,model_name,model_describe,model_price,model_type,model_show,system_prompt,api_host,api_key,remark,create_dept,create_by,create_time,update_by,update_time  FROM chat_model      WHERE  (model_name = 'luma')
